tournament_name,match_date,player1,player2,score,winner
Grand Slam Showdown,2025-05-13,Vera,Will,0-2,Will
The Royal Racket Final,2025-01-09,Olivia,Liam,2-3,Liam
Aussie Ace Clash,2025-05-13,Bob,Zack,0-3,Zack
Wimbledon Warriors,2025-03-31,Eva,Mia,1-3,Mia
French Open Faceoff,2025-02-10,Hank,Yara,2-1,Hank
US Open Blitz,2025-04-03,Charlie,Noah,2-3,Noah
Hardcourt Havoc,2025-02-27,Noah,Quinn,3-2,Noah
Clay Court Duel,2025-01-13,Dan,Olivia,3-0,Dan
Grasscourt Glory,2025-04-19,Alice,Jack,2-3,Jack
The Masters Match,2025-03-19,Eva,Mia,0-3,Mia
Continental Cup Clash,2025-03-29,Charlie,Zack,1-3,Zack
Champion Circuit,2025-01-17,Mia,Ivy,2-1,Mia
Elite Eight Encounter,2025-01-21,Ruby,Quinn,0-1,Quinn
World Tour Finals,2025-03-24,Tina,Liam,3-2,Tina
Final Set Showdown,2025-05-13,Quinn,Ivy,3-1,Quinn
Legends of the Court,2025-02-17,Tina,Mia,2-3,Mia
Battle for the Baseline,2025-01-10,Paul,Sam,1-3,Sam
Net Kings Knockout,2025-03-09,Eva,Yara,3-0,Eva
Global Tennis Gala,2025-05-11,Alice,Will,3-1,Alice
Power Serve Finals,2025-04-04,Eva,Ivy,2-3,Ivy
Sunset Smash,2025-05-24,Bob,Noah,1-3,Noah
Midnight Rally,2025-03-27,Charlie,Liam,3-0,Liam
Golden Racket Rumble,2025-01-11,Charlie,Quinn,1-3,Quinn
Spin Shot Show,2025-05-31,Alice,Ivy,2-3,Ivy
Aces in Autumn,2025-05-28,Charlie,Ruby,1-3,Ruby
Baseline Battle Royale,2025-02-15,Bob,Olivia,0-3,Olivia
Rally of Titans,2025-05-15,Bob,Zack,2-3,Zack
Slice and Dice Match,2025-03-04,Bob,Xena,2-3,Xena
Court of Thunder,2025-02-06,Ruby,Tina,1-3,Tina
Victory Volley,2025-01-11,Umar,Ruby,1-3,Ruby
Friendly Fire Match,2025-04-02,Dan,Yara,3-2,Dan
Tennis Under the Stars,2025-05-18,Jack,Yara,1-3,Yara
Warm-Up Classic,2025-03-10,Will,Frank,1-3,Frank
Legacy Exhibition,2025-03-14,Bob,Ivy,2-3,Ivy
Invitational Showpiece,2025-01-29,Alice,Xena,1-3,Xena
Charity Court Clash,2025-05-24,Alice,Tina,2-0,Alice
Rally for Hope,2025-01-10,Alice,Jack,3-2,Alice
Doubles Delight,2025-05-11,Bob,Paul,2-3,Paul
All-Stars Serve-Off,2025-01-02,Alice,Frank,3-1,Alice
Mentor,2025-03-27,Dan,Yara,3-2,Dan
Spring Serve Series,2025-01-02,Alice,Umar,1-0,Alice
Summer Smashdown,2025-04-15,Dan,Umar,0-3,Umar
Autumn Ace Arena,2025-02-20,Charlie,Yara,2-3,Yara
Winter Racket War,2025-05-11,Charlie,Grace,3-2,Charlie
New Year Net Clash,2025-01-09,Grace,Ruby,0-3,Ruby
Holiday Hardcourt Heat,2025-02-20,Dan,Paul,3-0,Dan
Easter Exhibition,2025-04-29,Charlie,Paul,3-1,Charlie
Valentine Volley Match,2025-03-08,Paul,Olivia,0-3,Olivia
Halloween Hit-Out,2025-02-22,Dan,Frank,3-1,Dan
Christmas Classic,2025-03-17,Charlie,Noah,3-2,Charlie
The Rivalry Rematch,2025-05-18,Alice,Xena,3-2,Alice
Epic Fifth Set Finale,2025-05-24,Dan,Grace,1-3,Grace
Comeback King Clash,2025-05-12,Quinn,Jack,3-1,Quinn
Tie-Breaker Tension,2025-02-18,Eva,Quinn,3-2,Eva
Revenge on the Racket,2025-02-23,Bob,Yara,1-3,Yara
Sudden Death Serve-Off,2025-01-03,Dan,Grace,0-2,Grace
Long Rally Legacy,2025-01-31,Charlie,Ivy,3-1,Charlie
Match Point Madness,2025-05-24,Jack,Will,3-2,Jack
Overdrive Open,2025-02-06,Jack,Paul,3-0,Jack
Duel of Determination,2025-01-06,Charlie,Ruby,2-3,Ruby
Tokyo Topspin,2025-03-31,Eva,Ruby,2-0,Eva
London Lawn Duel,2025-05-23,Bob,Liam,2-1,Bob
Paris Power Play,2025-03-25,Dan,Vera,3-1,Dan
New York Net Duel,2025-04-24,Xena,Vera,1-3,Vera
Sydney Smash,2025-01-21,Alice,Frank,3-0,Frank
Rio Racket Clash,2025-05-07,Hank,Quinn,0-1,Quinn
Dubai Desert Classic,2025-01-20,Alice,Umar,3-0,Umar
Shanghai Serve-Off,2025-01-27,Grace,Umar,1-3,Umar
Madrid Masters,2025-02-11,Paul,Quinn,3-1,Paul
Rome Rally,2025-02-28,Alice,Quinn,2-0,Quinn
Dragon Racket Duel,2025-04-19,Dan,Hank,3-1,Dan
Shadow Serve Showdown,2025-04-14,Dan,Paul,3-1,Dan
Galaxy Grand Slam,2025-02-24,Alice,Yara,3-0,Yara
Infinity Rally,2025-04-28,Mia,Noah,0-2,Mia
Phantom of the Court,2025-05-17,Bob,Noah,3-2,Bob
Titan Tennis Takedown,2025-02-25,Yara,Paul,0-1,Paul
Mage Matchpoint,2025-04-20,Dan,Jack,0-0,Jack
Knights of the Net,2025-01-04,Charlie,Olivia,3-2,Charlie
Stealth Serve Struggle,2025-02-07,Dan,Grace,3-0,Dan
Meteor Match,2025-05-06,Alice,Will,2-0,Will
The Heritage Open,2025-05-13,Alice,Noah,1-3,Noah
Legends Legacy,2025-02-11,Bob,Noah,2-0,Bob
Vintage Volley Challenge,2025-02-17,Charlie,Paul,0-3,Charlie
The Classic Clash,2025-02-21,Zack,Xena,0-2,Xena
Court Kings Invitational,2025-05-13,Liam,Olivia,3-0,Olivia
Prestige Tennis Tour,2025-03-10,Alice,Sam,0-3,Alice
Era of Aces,2025-04-21,Zack,Xena,3-0,Zack
The Timeless Tiebreak,2025-05-28,Bob,Will,0-2,Will
Legacy League Finals,2025-04-08,Dan,Grace,1-0,Grace
Golden Era Grand Slam,2025-02-01,Paul,Jack,0-3,Jack
Mixed Match Magic,2025-05-02,Bob,Quinn,2-3,Quinn
Dynamic Duo Duel,2025-05-04,Charlie,Quinn,3-2,Charlie
Power Pair Playoff,2025-01-11,Vera,Hank,3-0,Vera
Doubles Circuit Showdown,2025-03-20,Jack,Paul,2-3,Paul
Partner Rally,2025-02-07,Eva,Hank,0-3,Hank
Mixed Court Mayhem,2025-01-11,Dan,Quinn,3-2,Dan
Tandem Tennis Throwdown,2025-03-21,Alice,Zack,3-0,Alice
Perfect Pair Challenge,2025-05-11,Bob,Liam,3-1,Bob
Sync Serve Series,2025-02-23,Olivia,Zack,3-2,Olivia
Unity on the Court,2025-01-31,Eva,Sam,3-1,Eva
